id_x,review_count,rating,free_bikes,bike_station,empty_slots,latitude,longitude
qvj2Lho5xuymCy_7NrAe3g,27.0,4.5,9,11,4,41.94367,-87.64895
Mud-L2vMAtmvWpjo3tDvaA,195.0,4.5,9,11,4,41.94367,-87.64895
-8YFhjfzqX9OBqC3jbr5Jg,19.0,4.5,9,11,4,41.94367,-87.64895
-hTTSg5X3FBMl_fdRge3Bw,21.0,4.5,9,11,4,41.94367,-87.64895
cNFw8DpAzgT3JSp-L9oEAA,39.0,4.5,9,11,4,41.94367,-87.64895
GLF1TKJ9Qyr67prQIRfquA,78.0,4.5,9,11,4,41.94367,-87.64895
56geLNeG35U8o6JivThzYg,116.0,4.5,9,11,4,41.94367,-87.64895
gsIOrMxksDIsR6YywAFT2g,33.0,5.0,15,12,2,41.940106,-87.645451
Yc_VAHPXcl_h2CeEr_XfkQ,196.0,5.0,15,12,2,41.940106,-87.645451
tQqZ7smR1OIVMYV0jA6tIw,34.0,5.0,15,12,2,41.940106,-87.645451
1eDnD3CN9jLydSugYIO50w,85.0,5.0,15,12,2,41.940106,-87.645451
-KZsoQtr3e-md07sj0UQzQ,513.0,5.0,15,12,2,41.940106,-87.645451
9VjA3OhPq6jbtliLL3Z-DA,68.0,5.0,15,12,2,41.940106,-87.645451
fPlA_n18OTA09KiF8j0qXg,262.0,5.0,15,12,2,41.940106,-87.645451
5YtLXPKNx7DOVJc2YKhnww,54.0,5.0,15,12,2,41.940106,-87.645451
fBe0G4dYB5dw4UpnG1DJhA,61.0,5.0,15,12,2,41.940106,-87.645451
gs-PZjw3VONWJQFCSTDTeg,428.0,4.5,15,12,2,41.940106,-87.645451
NwArLAA0hQWqTuAy_u4gKA,148.0,4.5,15,12,2,41.940106,-87.645451
Msq026okPVK4X7zPfobzEg,55.0,4.5,15,12,2,41.940106,-87.645451
qXpvnq1EJ27iuoghG5A4-g,540.0,4.5,15,12,2,41.940106,-87.645451
qQfpPjZffGOJqODx_mEgHA,19.0,4.5,15,12,2,41.940106,-87.645451
qvj2Lho5xuymCy_7NrAe3g,27.0,4.5,15,12,2,41.940106,-87.645451
Mud-L2vMAtmvWpjo3tDvaA,195.0,4.5,15,12,2,41.940106,-87.645451
IMZE58oaY-gRlv3qK9BCdw,8.0,4.5,15,12,2,41.940106,-87.645451
-hTTSg5X3FBMl_fdRge3Bw,21.0,4.5,15,12,2,41.940106,-87.645451
cNFw8DpAzgT3JSp-L9oEAA,39.0,4.5,15,12,2,41.940106,-87.645451
GLF1TKJ9Qyr67prQIRfquA,78.0,4.5,15,12,2,41.940106,-87.645451
